nameWithOwner,url,stargazerCount,createdAt,updatedAt,pushedAt,primaryLanguage,mergedPullRequests,releases,issues,closedIssues
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,541542,2018-05-09T12:03:18Z,2026-08-20T18:35:08Z,2026-07-14T19:25:58Z,Markdown,157,0,950,677
sindresorhus/awesome,https://github.com/sindresorhus/awesome,498174,2014-07-11T13:42:37Z,2026-08-20T18:37:46Z,2026-08-18T13:28:50Z,,701,0,368,352
public-apis/public-apis,https://github.com/public-apis/public-apis,467014,2016-03-20T23:49:42Z,2026-08-20T18:37:49Z,2026-08-19T21:44:19Z,Python,2153,0,940,910
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454362,2014-12-24T17:49:19Z,2026-08-20T18:37:49Z,2026-08-20T18:27:39Z,TypeScript,29135,0,22080,21916
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394857,2013-10-11T06:50:37Z,2026-08-20T18:37:48Z,2026-08-18T14:16:15Z,Python,7424,0,1293,1255
openclaw/openclaw,https://github.com/openclaw/openclaw,386897,2025-11-24T10:16:47Z,2026-08-20T18:37:50Z,2026-08-20T18:37:15Z,TypeScript,26621,234,47710,44194
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,365079,2017-02-26T16:15:28Z,2026-08-20T18:37:50Z,2026-03-20T01:52:19Z,Python,210,0,402,127
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364995,2017-03-15T13:45:52Z,2026-08-20T18:36:49Z,2026-08-20T12:45:59Z,TypeScript,4400,1,3185,3185
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359326,2016-06-06T02:34:12Z,2026-08-20T18:37:50Z,2025-08-28T14:42:47Z,,415,0,536,455
vinta/awesome-python,https://github.com/vinta/awesome-python,315119,2014-06-27T21:00:06Z,2026-08-20T18:37:48Z,2026-08-16T13:31:43Z,Python,741,0,0,0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313917,2015-06-01T02:33:17Z,2026-08-20T18:37:48Z,2026-08-20T16:50:20Z,,0,1,0,0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,280098,2017-04-12T05:07:46Z,2026-08-20T18:37:54Z,2026-08-17T06:46:47Z,Python,194,0,240,88
996icu/996.ICU,https://github.com/996icu/996.ICU,276728,2019-03-26T07:31:14Z,2026-08-20T18:32:48Z,2025-08-22T06:01:29Z,,1072,0,0,0
obra/superpowers,https://github.com/obra/superpowers,274824,2025-10-09T19:45:18Z,2026-08-20T18:37:42Z,2026-08-19T17:33:23Z,Shell,167,12,857,755
react/react,https://github.com/react/react,247437,2013-05-24T16:15:54Z,2026-08-20T18:37:47Z,2026-08-19T17:57:20Z,JavaScript,13035,132,14623,13801
torvalds/linux,https://github.com/torvalds/linux,243417,2011-09-04T22:48:12Z,2026-08-20T18:37:47Z,2026-08-20T18:32:12Z,C,0,0,0,0
affaan-m/ECC,https://github.com/affaan-m/ECC,241384,2026-01-18T00:51:51Z,2026-08-20T18:37:51Z,2026-08-19T23:31:56Z,JavaScript,998,15,711,667
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239355,2018-06-23T10:43:14Z,2026-08-20T18:34:28Z,2024-11-19T14:00:38Z,,122,0,0,0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,233478,2025-07-22T22:22:28Z,2026-08-20T18:36:47Z,2026-08-20T18:36:10Z,Python,11397,28,22852,11373
mattpocock/skills,https://github.com/mattpocock/skills,225859,2026-02-03T11:15:53Z,2026-08-20T18:38:05Z,2026-08-20T10:35:33Z,Shell,94,7,680,311
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223898,2016-07-16T09:44:01Z,2026-08-20T18:35:22Z,2026-08-03T18:44:56Z,Python,3088,0,1749,1606
vuejs/vue,https://github.com/vuejs/vue,210250,2013-07-29T03:24:51Z,2026-08-20T18:08:04Z,2024-10-10T07:24:15Z,TypeScript,1136,249,10034,9670
ossu/computer-science,https://github.com/ossu/computer-science,208239,2014-05-04T00:18:39Z,2026-08-20T18:37:48Z,2026-07-14T05:38:25Z,HTML,315,0,675,658
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,204296,2026-01-27T03:53:13Z,2026-08-20T18:37:51Z,2026-04-20T10:05:04Z,,12,0,0,0
n8n-io/n8n,https://github.com/n8n-io/n8n,201356,2019-06-22T09:24:21Z,2026-08-20T18:32:47Z,2026-08-20T18:22:18Z,TypeScript,20273,770,10053,9709
anomalyco/opencode,https://github.com/anomalyco/opencode,199497,2025-04-30T20:08:00Z,2026-08-20T18:37:50Z,2026-08-20T18:31:19Z,TypeScript,7408,861,24215,20233
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197101,2015-11-07T01:19:20Z,2026-08-20T18:28:35Z,2026-08-20T18:34:50Z,C++,48928,222,41701,40940
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196519,2018-03-24T07:47:04Z,2026-08-20T18:37:51Z,2026-07-26T02:43:08Z,JavaScript,309,0,373,238
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195086,2026-03-31T08:58:08Z,2026-08-20T18:37:51Z,2026-08-16T06:18:45Z,Rust,143,0,2211,2195
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194514,2024-05-30T13:23:00Z,2026-08-20T18:32:49Z,2026-08-12T10:36:46Z,Markdown,0,0,0,0
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189272,2009-08-28T18:15:37Z,2026-08-20T18:37:47Z,2026-08-20T08:43:08Z,Shell,3655,0,5079,4925
microsoft/vscode,https://github.com/microsoft/vscode,188987,2015-09-03T20:23:38Z,2026-08-20T18:37:49Z,2026-08-20T18:35:37Z,TypeScript,52223,234,251292,233718
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187710,2020-01-12T23:03:34Z,2026-08-20T18:33:02Z,2026-07-04T16:54:38Z,Batchfile,7,31,1075,1067
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186685,2023-03-16T09:21:07Z,2026-08-20T18:37:52Z,2026-08-20T18:24:54Z,Python,4778,117,3936,3650
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,185844,2020-10-26T04:22:55Z,2026-08-20T18:37:48Z,2026-08-19T23:48:28Z,Python,3415,136,11938,9966
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185518,2018-02-13T14:56:24Z,2026-08-20T18:37:49Z,2024-08-21T09:40:10Z,,374,0,579,449
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185443,2018-03-01T16:05:52Z,2026-08-20T18:37:50Z,2026-07-29T15:18:29Z,Jupyter Notebook,13,0,729,193
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184700,2013-11-16T02:37:24Z,2026-08-20T18:38:17Z,2026-02-15T04:36:44Z,,370,0,947,947
avelino/awesome-go,https://github.com/avelino/awesome-go,181685,2014-07-06T13:42:15Z,2026-08-20T18:38:18Z,2026-08-20T13:14:59Z,Go,3882,0,759,736
ollama/ollama,https://github.com/ollama/ollama,179041,2023-06-26T19:39:32Z,2026-08-20T18:32:48Z,2026-08-20T18:15:59Z,Go,3534,246,11028,8602
flutter/flutter,https://github.com/flutter/flutter,178520,2015-03-06T22:54:58Z,2026-08-20T18:32:48Z,2026-08-20T18:03:15Z,Dart,49682,7,115244,102672
github/gitignore,https://github.com/github/gitignore,175377,2010-11-08T20:17:14Z,2026-08-20T18:37:48Z,2026-07-23T16:06:45Z,,1779,0,0,0
microsoft/markitdown,https://github.com/microsoft/markitdown,174896,2024-11-13T19:56:40Z,2026-08-20T18:37:52Z,2026-08-19T19:36:22Z,Python,184,20,572,181
twbs/bootstrap,https://github.com/twbs/bootstrap,174616,2011-07-29T21:19:00Z,2026-08-20T18:33:59Z,2026-08-20T15:50:12Z,MDX,9486,94,22944,22839
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,173136,2026-08-13T11:56:32Z,2026-08-20T18:37:57Z,2026-08-19T15:37:57Z,TypeScript,0,2,0,0
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,171962,2016-05-04T06:24:11Z,2026-08-20T18:38:19Z,2026-08-02T07:58:25Z,Python,17,68,3325,2709
