data_hora_utc,integrante,kata,tratamento,arquivo,loc,lloc,sloc,comentarios,linhas_em_branco,complexidade_media,complexidade_total,num_blocos,mi
2026-09-16T14:37:29+00:00,Druitti,k1_merge_intervals,com_ia,lab02/trials/ferreira/k1_merge_intervals/kata.py,21,16,13,0,6,5.00,5,1,63.24
2026-09-16T14:37:38+00:00,Druitti,k2_flatten_dict,com_ia,lab02/trials/ferreira/k2_flatten_dict/kata.py,23,14,15,0,6,4.00,4,1,100.00
2026-09-16T14:37:48+00:00,Druitti,k3_log_errors,com_ia,lab02/trials/ferreira/k3_log_errors/kata.py,23,17,14,0,7,4.00,4,1,62.43
2026-09-16T14:38:09+00:00,Druitti,k4_parking_slots,sem_ia,lab02/trials/ferreira/k4_parking_slots/kata.py,16,13,12,0,3,4.00,4,1,65.14
2026-09-16T14:38:32+00:00,Druitti,k5_local_checksum,sem_ia,lab02/trials/ferreira/k5_local_checksum/kata.py,15,12,11,0,3,4.00,4,1,63.09
2026-09-16T14:38:55+00:00,Druitti,k6_frame_score,sem_ia,lab02/trials/ferreira/k6_frame_score/kata.py,18,15,14,0,3,5.00,5,1,58.97
2026-09-18T01:36:34+00:00,tavares,k1_merge_intervals,com_ia,lab02/katas/k1_merge_intervals/kata.py,18,14,12,1,5,4.00,4,1,81.11
2026-09-18T02:01:00+00:00,tavares,k2_flatten_dict,sem_ia,lab02/katas/k2_flatten_dict/kata.py,9,9,9,0,0,4.00,4,1,100.00
2026-09-18T02:04:39+00:00,tavares,k3_log_errors,com_ia,lab02/katas/k3_log_errors/kata.py,13,10,9,0,4,3.00,3,1,69.45
2026-09-18T02:13:34+00:00,tavares,k4_parking_slots,sem_ia,lab02/katas/k4_parking_slots/kata.py,12,12,11,0,0,4.00,4,1,65.90
2026-09-18T02:16:18+00:00,tavares,k5_local_checksum,com_ia,lab02/katas/k5_local_checksum/kata.py,8,7,6,0,2,4.00,4,1,68.13
2026-09-18T02:28:33+00:00,tavares,k6_frame_score,sem_ia,lab02/katas/k6_frame_score/kata.py,17,16,15,0,1,5.00,5,1,58.28
2026-09-25T02:15:30+00:00,gabsant07,k1_merge_intervals,sem_ia,lab02/katas/k1_merge_intervals/kata.py,30,16,13,0,9,4.00,4,1,93.34
2026-09-25T02:15:31+00:00,gabsant07,k2_flatten_dict,sem_ia,lab02/katas/k2_flatten_dict/kata.py,32,18,17,0,10,5.00,5,1,87.25
2026-09-25T02:15:31+00:00,gabsant07,k3_log_errors,sem_ia,lab02/katas/k3_log_errors/kata.py,30,15,14,0,10,5.00,5,1,90.03
2026-09-25T02:15:32+00:00,gabsant07,k4_parking_slots,com_ia,lab02/katas/k4_parking_slots/kata.py,23,13,12,0,7,4.00,4,1,92.35
2026-09-25T02:15:32+00:00,gabsant07,k5_local_checksum,com_ia,lab02/katas/k5_local_checksum/kata.py,32,16,15,0,11,5.00,5,1,88.48
2026-09-25T02:15:33+00:00,gabsant07,k6_frame_score,com_ia,lab02/katas/k6_frame_score/kata.py,28,12,11,0,9,5.00,5,1,89.91
